Date,Open,High,Low,Close,Adj Close,Volume,,
04/01/1999,4030.439941,4147.5,3993.22998,4147.5,4147.5,0,,
05/01/1999,4166.859863,4200.779785,4136.450195,4200.779785,4200.779785,0,,
06/01/1999,4249.109863,4320.52002,4242.700195,4294.819824,4294.819824,0,,
07/01/1999,4298.680176,4313.180176,4210.640137,4230.669922,4230.669922,0,,
08/01/1999,4261.700195,4295.970215,4220.799805,4245.419922,4245.419922,0,,
11/01/1999,4280.609863,4283.799805,4165.629883,4201.899902,4201.899902,0,,
12/01/1999,4180.060059,4213.669922,4095.379883,4100.700195,4100.700195,0,,
13/01/1999,4031.179932,4057.649902,3845.77002,3958.719971,3958.719971,0,,
14/01/1999,3982.530029,4035.169922,3947.389893,3997.060059,3997.060059,0,,
15/01/1999,3890.879883,4054.810059,3890.879883,4054.810059,4054.810059,0,,
18/01/1999,4087.419922,4160.529785,4087.419922,4151.680176,4151.680176,0,,
19/01/1999,4134.740234,4186.140137,4093.669922,4115.990234,4115.990234,0,,
20/01/1999,4188.790039,4206.009766,4124.709961,4190.009766,4190.009766,0,,
21/01/1999,4170.97998,4179.009766,4110.450195,4154.029785,4154.029785,0,,
22/01/1999,4082.639893,4085.73999,4005.639893,4019.330078,4019.330078,0,,
25/01/1999,3996.370117,4056.97998,3972.620117,4050.800049,4050.800049,0,,
26/01/1999,4087.26001,4092.550049,4017.540039,4071.280029,4071.280029,0,,
27/01/1999,4126.509766,4149.700195,4086.22998,4098.100098,4098.100098,0,,
28/01/1999,4085.98999,4229.52002,4062.23999,4199.669922,4199.669922,0,,
29/01/1999,4247.890137,4312.890137,4174.399902,4251.799805,4251.799805,0,,
01/02/1999,4310.689941,4354.290039,4283.560059,4303.919922,4303.919922,0,,
02/02/1999,4275.689941,4276.410156,4225.470215,4243.569824,4243.569824,0,,
03/02/1999,4238.049805,4280.709961,4170.02002,4188.839844,4188.839844,0,,
04/02/1999,4253.660156,4267.560059,4159.939941,4167.419922,4167.419922,0,,
05/02/1999,4118.439941,4219.180176,4118.439941,4147.299805,4147.299805,0,,
08/02/1999,4141.319824,4187.660156,4112.259766,4154.02002,4154.02002,0,,
09/02/1999,4187.120117,4195.560059,4032.449951,4038.48999,4038.48999,0,,
10/02/1999,4013.699951,4025.550049,3954.560059,4001.929932,4001.929932,0,,
11/02/1999,4010.469971,4072.340088,4010.469971,4072.340088,4072.340088,0,,
12/02/1999,4128.560059,4145.779785,4030.860107,4060.360107,4060.360107,0,,
15/02/1999,4024.050049,4079.02002,4005.820068,4065.189941,4065.189941,0,,
16/02/1999,4112.680176,4121.290039,4032.830078,4052.320068,4052.320068,0,,
17/02/1999,4025.820068,4030.219971,3959.76001,3985.48999,3985.48999,0,,
18/02/1999,4015.699951,4039.409912,3958.830078,4039.409912,4039.409912,0,,
19/02/1999,4028.22998,4130.47998,4006.169922,4130.47998,4130.47998,0,,
22/02/1999,4149.040039,4165.859863,4086.419922,4165.859863,4165.859863,0,,
23/02/1999,4145.680176,4241.310059,4145.680176,4207.950195,4207.950195,0,,
24/02/1999,4204.990234,4264.490234,4191.609863,4213.700195,4213.700195,0,,
25/02/1999,4156.47998,4224.899902,4146.879883,4152.560059,4152.560059,0,,
26/02/1999,4112.089844,4134.439941,4076.879883,4092.939941,4092.939941,0,,
01/03/1999,4096.27002,4111.910156,4001.23999,4032.050049,4032.050049,0,,
02/03/1999,4051.649902,4062.620117,3986.580078,4048.629883,4048.629883,0,,
03/03/1999,4034.73999,4086.469971,4004.159912,4004.159912,4004.159912,0,,
04/03/1999,4037.139893,4098.370117,4015.580078,4087.98999,4087.98999,0,,
05/03/1999,4137.870117,4213.910156,4111.899902,4189.560059,4189.560059,0,,
08/03/1999,4191.52002,4202.319824,4148.689941,4175.970215,4175.970215,0,,
09/03/1999,4208.129883,4224.459961,4130.160156,4159.799805,4159.799805,0,,
10/03/1999,4182.689941,4185.529785,4146.279785,4162.310059,4162.310059,0,,
11/03/1999,4197.649902,4213.930176,4161.310059,4184.379883,4184.379883,0,,
12/03/1999,4232.209961,4262.319824,4154.830078,4175.029785,4175.029785,0,,
15/03/1999,4173.069824,4195.540039,4136.589844,4185.120117,4185.120117,0,,
16/03/1999,4203.189941,4212.47998,4172.939941,4186.350098,4186.350098,0,,
17/03/1999,4178.830078,4225,4161.080078,4170.009766,4170.009766,0,,
18/03/1999,4138.72998,4161.529785,4093.370117,4152.370117,4152.370117,0,,
19/03/1999,4202.149902,4241.899902,4188.200195,4219.649902,4219.649902,0,,
22/03/1999,4175.5,4217.470215,4175.5,4197.060059,4197.060059,0,,
23/03/1999,4142.569824,4171.629883,4078.800049,4079.469971,4079.469971,0,,
24/03/1999,4065.310059,4065.310059,3995.699951,4058.159912,4058.159912,0,,
25/03/1999,4075.5,4144.959961,4051.120117,4137.009766,4137.009766,0,,
26/03/1999,4081.199951,4180.060059,4055.139893,4115.709961,4115.709961,0,,
29/03/1999,4123.589844,4165.470215,4088.580078,4153.649902,4153.649902,0,,
30/03/1999,4182.870117,4182.870117,4139.200195,4141.97998,4141.97998,0,,
31/03/1999,4157.379883,4206.120117,4157.379883,4197.879883,4197.879883,0,,
01/04/1999,4154.75,4240.689941,4150.790039,4229.850098,4229.850098,0,,
02/04/1999,null,null,null,null,null,null,,
05/04/1999,null,null,null,null,null,null,,
06/04/1999,4279.669922,4328.919922,4251.140137,4304.47998,4304.47998,0,,
07/04/1999,4303.970215,4351.799805,4296.990234,4318.040039,4318.040039,0,,
08/04/1999,4323.060059,4351.169922,4295.830078,4330.700195,4330.700195,0,,
09/04/1999,4394.169922,4416,4342.640137,4363.140137,4363.140137,0,,
