Date,Open,High,Low,Close,Adj Close,Volume
10/09/1987,167.440002,168.979996,167.440002,168.970001,168.970001,1798000
11/09/1987,168.970001,170.539993,168.75,170.539993,170.539993,1780000
14/09/1987,170.529999,170.949997,170.149994,170.429993,170.429993,1544000
15/09/1987,170.419998,170.440002,169.130005,169.199997,169.199997,1362000
16/09/1987,169.309998,170.029999,168.820007,168.919998,168.919998,1957000
17/09/1987,168.919998,169.25,168.539993,168.820007,168.820007,1507000
18/09/1987,168.820007,169.039993,168.75,168.75,168.75,1881000
21/09/1987,168.75,169.130005,167.360001,167.399994,167.399994,1701000
22/09/1987,167.399994,167.559998,166.690002,167.559998,167.559998,2095000
23/09/1987,167.559998,168.649994,167.550003,168.649994,168.649994,2203000
24/09/1987,168.649994,169.059998,168.520004,168.720001,168.720001,1622000
25/09/1987,168.720001,168.850006,168.429993,168.850006,168.850006,1380000
28/09/1987,168.839996,169.800003,168.839996,169.520004,169.520004,1881000
29/09/1987,169.520004,169.690002,168.889999,169.059998,169.059998,1735000
30/09/1987,169.050003,170.809998,168.679993,170.809998,170.809998,1831000
01/10/1987,170.820007,171.399994,170.25,171.399994,171.399994,1932000
02/10/1987,171.399994,172.089996,171.399994,172.080002,172.080002,1891000
05/10/1987,172.089996,172.550003,172.089996,172.539993,172.539993,1597000
06/10/1987,172.550003,172.619995,170.130005,170.210007,170.210007,1756000
07/10/1987,170.210007,170.210007,168.479996,168.869995,168.869995,1863000
08/10/1987,168.869995,168.979996,166.779999,167.059998,167.059998,1987000
09/10/1987,167.059998,167.110001,166.009995,166.119995,166.119995,1583000
12/10/1987,166.110001,166.110001,163.389999,163.860001,163.860001,1419000
13/10/1987,163.860001,164.419998,163.630005,164.139999,164.139999,1729000
14/10/1987,164.149994,164.160004,161.589996,161.789993,161.789993,2074000
15/10/1987,161.800003,161.800003,159.600006,159.660004,159.660004,2632000
16/10/1987,159.660004,159.660004,152.610001,152.740005,152.740005,3385000
19/10/1987,152.740005,152.740005,133.600006,133.600006,133.600006,6043000
20/10/1987,133.600006,133.600006,120.209999,121.389999,121.389999,6081000
21/10/1987,121.389999,130.770004,121.389999,130.649994,130.649994,4496000
22/10/1987,130.649994,130.649994,124.470001,124.57,124.57,3922000
23/10/1987,124.580002,124.580002,121.360001,121.589996,121.589996,2456000
26/10/1987,121.580002,121.580002,110.32,110.330002,110.330002,3088000
27/10/1987,110.32,113.120003,108.370003,108.510002,108.510002,2602000
28/10/1987,105.459999,108.5,105.459999,106.080002,106.080002,2794000
29/10/1987,106.07,110.800003,106.059998,110.800003,110.800003,2581000
30/10/1987,110.790001,118.260002,107.900002,118.260002,118.260002,3034000
02/11/1987,118.269997,120.220001,118.269997,120.209999,120.209999,1760000
03/11/1987,120.199997,122.050003,116.919998,117.720001,117.720001,2278000
04/11/1987,117.730003,117.75,116.389999,117.199997,117.199997,2025000
05/11/1987,117.190002,118.940002,117.18,118.940002,118.940002,2260000
06/11/1987,118.940002,120.089996,118.940002,119.330002,119.330002,2282900
09/11/1987,119.32,119.32,117.260002,117.620003,117.620003,1606900
10/11/1987,117.620003,117.620003,115.25,115.559998,115.559998,1843100
11/11/1987,115.57,116.68,115.5,116.260002,116.260002,1478500
12/11/1987,116.260002,118.669998,116.209999,118.349998,118.349998,2062800
13/11/1987,118.349998,118.639999,118.099998,118.309998,118.309998,1749200
16/11/1987,118.32,119.019997,118.010002,118.269997,118.269997,1643400
17/11/1987,118.260002,118.269997,116.040001,116.300003,116.300003,1482400
18/11/1987,116.300003,116.690002,115.760002,116.690002,116.690002,1582600
19/11/1987,116.690002,116.690002,115.040001,115.110001,115.110001,1571400
20/11/1987,115.110001,115.150002,113.839996,114.449997,114.449997,1891700
23/11/1987,114.449997,114.5,114.089996,114.470001,114.470001,1431600
24/11/1987,114.470001,115.879997,114.290001,115.580002,115.580002,1995200
25/11/1987,115.580002,115.970001,115.389999,115.970001,115.970001,1397800
27/11/1987,115.959999,115.959999,115.529999,115.610001,115.610001,863600
30/11/1987,115.599998,115.629997,110.559998,111.699997,111.699997,2689100
01/12/1987,111.690002,112.089996,111.129997,111.269997,111.269997,1498700
02/12/1987,111.269997,111.300003,110.830002,111.110001,111.110001,1488900
03/12/1987,111.110001,111.150002,108.860001,108.940002,108.940002,2041600
04/12/1987,108.940002,108.940002,106.190002,106.5,106.5,1848000
07/12/1987,106.489998,106.519997,106.160004,106.43,106.43,1466600
08/12/1987,106.440002,107.239998,106.379997,107.239998,107.239998,2273100
09/12/1987,107.239998,108.889999,107.239998,108.889999,108.889999,2314300
10/12/1987,108.889999,109.059998,107.199997,108.620003,108.620003,1889600
11/12/1987,108.629997,109.32,108.540001,109.32,109.32,1516800
14/12/1987,109.309998,112.07,109.099998,112.07,112.07,1876800
15/12/1987,112.07,114.360001,112.07,114.360001,114.360001,2149700
16/12/1987,114.360001,116.839996,113.870003,116.82,116.82,1938200
17/12/1987,116.82,117.309998,116.25,116.940002,116.940002,1917800
18/12/1987,116.940002,119.459999,116.449997,119.459999,119.459999,2762200
21/12/1987,119.449997,119.919998,119.25,119.919998,119.919998,1617900
22/12/1987,119.919998,119.93,118.75,119.309998,119.309998,1926500
23/12/1987,119.309998,120.82,119.309998,120.800003,120.800003,2031100
24/12/1987,120.790001,121.589996,120.790001,121.589996,121.589996,1088000
28/12/1987,121.589996,121.589996,118.68,119,119,1312200
29/12/1987,118.989998,118.989998,118.019997,118.300003,118.300003,1115800
30/12/1987,118.309998,119.5,118.300003,119.5,119.5,1492300
31/12/1987,119.5,120.419998,118.610001,120.419998,120.419998,1701400
